a,w,t
-2,-2,0.997
-2,-1.9,0.997
-2,-1.8,0.997
-2,-1.7,0.997
-2,-1.6,0.997
-2,-1.5,0.997
-2,-1.4,0.997
-2,-1.3,0.997
-2,-1.2,0.997
-2,-1.1,0.997
-2,-1,0.997
-2,-0.9,0.997
-2,-0.8,0.997
-2,-0.7,0.997
-2,-0.6,0.997
-2,-0.5,0.997
-2,-0.4,0.997
-2,-0.3,0.997
-2,-0.2,0.997
-2,-0.1,0.997
-2,0,0.997
-2,0.1,0.996
-2,0.2,0.996
-2,0.3,0.996
-2,0.4,0.996
-2,0.5,0.996
-2,0.6,0.996
-2,0.7,0.996
-2,0.8,0.995
-2,0.9,0.995
-2,1,0.994
-2,1.1,0.994
-2,1.2,0.993
-2,1.3,0.992
-2,1.4,0.99
-2,1.5,0.986
-2,1.6,0.974
-2,1.7,0.941
-2,1.8,0.904
-2,1.9,0.87
-2,2,0.839
-1.9,-2,1.023
-1.9,-1.9,1.023
-1.9,-1.8,1.023
-1.9,-1.7,1.023
-1.9,-1.6,1.023
-1.9,-1.5,1.023
-1.9,-1.4,1.023
-1.9,-1.3,1.023
-1.9,-1.2,1.023
-1.9,-1.1,1.023
-1.9,-1,1.023
-1.9,-0.9,1.023
-1.9,-0.8,1.023
-1.9,-0.7,1.023
-1.9,-0.6,1.023
-1.9,-0.5,1.023
-1.9,-0.4,1.023
-1.9,-0.3,1.023
-1.9,-0.2,1.023
-1.9,-0.1,1.023
-1.9,0,1.023
-1.9,0.1,1.023
-1.9,0.2,1.023
-1.9,0.3,1.022
-1.9,0.4,1.022
-1.9,0.5,1.022
-1.9,0.6,1.022
-1.9,0.7,1.022
-1.9,0.8,1.021
-1.9,0.9,1.021
-1.9,1,1.02
-1.9,1.1,1.02
-1.9,1.2,1.019
-1.9,1.3,1.017
-1.9,1.4,1.014
-1.9,1.5,1.004
-1.9,1.6,0.971
-1.9,1.7,0.929
-1.9,1.8,1.018
-1.9,1.9,0.857
-1.9,2,1.02
-1.8,-2,1.052
-1.8,-1.9,1.052
-1.8,-1.8,1.053
-1.8,-1.7,1.053
-1.8,-1.6,1.053
-1.8,-1.5,1.053
-1.8,-1.4,1.053
-1.8,-1.3,1.053
-1.8,-1.2,1.053
-1.8,-1.1,1.053
-1.8,-1,1.053
-1.8,-0.9,1.053
-1.8,-0.8,1.053
-1.8,-0.7,1.052
-1.8,-0.6,1.052
-1.8,-0.5,1.052
-1.8,-0.4,1.052
-1.8,-0.3,1.052
-1.8,-0.2,1.052
-1.8,-0.1,1.052
-1.8,0,1.052
-1.8,0.1,1.052
-1.8,0.2,1.052
-1.8,0.3,1.052
-1.8,0.4,1.051
-1.8,0.5,1.051
-1.8,0.6,1.051
-1.8,0.7,1.051
-1.8,0.8,1.05
-1.8,0.9,1.05
-1.8,1,1.049
-1.8,1.1,1.048
-1.8,1.2,1.047
-1.8,1.3,1.044
-1.8,1.4,1.036
-1.8,1.5,1.005
-1.8,1.6,0.958
-1.8,1.7,0.915
-1.8,1.8,0.877
-1.8,1.9,0.851
-1.8,2,1.05
-1.7,-2,1.085
-1.7,-1.9,1.085
-1.7,-1.8,1.085
-1.7,-1.7,1.085
-1.7,-1.6,1.085
-1.7,-1.5,1.085
-1.7,-1.4,1.085
-1.7,-1.3,1.085
-1.7,-1.2,1.085
-1.7,-1.1,1.085
-1.7,-1,1.085
-1.7,-0.9,1.085
-1.7,-0.8,1.085
-1.7,-0.7,1.085
-1.7,-0.6,1.085
-1.7,-0.5,1.085
-1.7,-0.4,1.085
-1.7,-0.3,1.085
-1.7,-0.2,1.085
-1.7,-0.1,1.085
-1.7,0,1.085
-1.7,0.1,1.084
-1.7,0.2,1.084
-1.7,0.3,1.084
-1.7,0.4,1.084
-1.7,0.5,1.084
-1.7,0.6,1.083
-1.7,0.7,1.083
-1.7,0.8,1.082
-1.7,0.9,1.082
-1.7,1,1.081
-1.7,1.1,1.08
-1.7,1.2,1.077
-1.7,1.3,1.071
-1.7,1.4,1.043
-1.7,1.5,0.991
-1.7,1.6,0.942
-1.7,1.7,0.9
-1.7,1.8,0.868
-1.7,1.9,1.083
-1.7,2,1.083
-1.6,-2,1.122
-1.6,-1.9,1.122
-1.6,-1.8,1.122
-1.6,-1.7,1.122
-1.6,-1.6,1.121
-1.6,-1.5,1.122
-1.6,-1.4,1.122
-1.6,-1.3,1.122
-1.6,-1.2,1.122
-1.6,-1.1,1.122
-1.6,-1,1.122
-1.6,-0.9,1.122
-1.6,-0.8,1.122
-1.6,-0.7,1.122
-1.6,-0.6,1.122
-1.6,-0.5,1.122
-1.6,-0.4,1.122
-1.6,-0.3,1.122
-1.6,-0.2,1.121
-1.6,-0.1,1.121
-1.6,0,1.121
-1.6,0.1,1.121
-1.6,0.2,1.121
-1.6,0.3,1.121
-1.6,0.4,1.12
-1.6,0.5,1.12
-1.6,0.6,1.12
-1.6,0.7,1.119
-1.6,0.8,1.119
-1.6,0.9,1.118
-1.6,1,1.117
-1.6,1.1,1.115
-1.6,1.2,1.109
-1.6,1.3,1.086
-1.6,1.4,1.028
-1.6,1.5,0.973
-1.6,1.6,1.117
-1.6,1.7,0.887
-1.6,1.8,1.119
-1.6,1.9,0.808
-1.6,2,0.777
-1.5,-2,1.163
-1.5,-1.9,1.163
-1.5,-1.8,1.163
-1.5,-1.7,1.163
-1.5,-1.6,1.163
-1.5,-1.5,1.163
-1.5,-1.4,1.163
-1.5,-1.3,1.163
-1.5,-1.2,1.163
-1.5,-1.1,1.163
-1.5,-1,1.163
-1.5,-0.9,1.163
-1.5,-0.8,1.163
-1.5,-0.7,1.163
-1.5,-0.6,1.163
-1.5,-0.5,1.163
-1.5,-0.4,1.163
-1.5,-0.3,1.163
-1.5,-0.2,1.163
-1.5,-0.1,1.163
-1.5,0,1.163
-1.5,0.1,1.163
-1.5,0.2,1.162
-1.5,0.3,1.162
-1.5,0.4,1.162
-1.5,0.5,1.162
-1.5,0.6,1.161
-1.5,0.7,1.161
-1.5,0.8,1.16
-1.5,0.9,1.159
-1.5,1,1.157
-1.5,1.1,1.153
-1.5,1.2,1.134
-1.5,1.3,1.072
-1.5,1.4,1.009
-1.5,1.5,0.965
-1.5,1.6,1.16
-1.5,1.7,0.86
-1.5,1.8,1.161
-1.5,1.9,1.162
-1.5,2,1.162
-1.4,-2,1.21
-1.4,-1.9,1.211
-1.4,-1.8,1.211
-1.4,-1.7,1.211
-1.4,-1.6,1.211
