a,w,t,label
-2,-2,0.402,1
-2,-1.9,0.423,1
-2,-1.8,0.445,1
-2,-1.7,0.47,1
-2,-1.6,0.494,1
-2,-1.5,0.506,1
-2,-1.4,0.51,1
-2,-1.3,0.512,1
-2,-1.2,0.513,1
-2,-1.1,0.514,1
-2,-1,0.515,1
-2,-0.9,0.515,1
-2,-0.8,0.515,1
-2,-0.7,0.516,1
-2,-0.6,0.516,1
-2,-0.5,0.516,1
-2,-0.4,0.516,1
-2,-0.3,0.516,1
-2,-0.2,0.516,1
-2,-0.1,0.517,1
-2,0,0.517,1
-2,0.1,0.517,1
-2,0.2,0.517,1
-2,0.3,0.517,1
-2,0.4,0.517,1
-2,0.5,0.517,1
-2,0.6,0.517,1
-2,0.7,0.517,1
-2,0.8,0.517,1
-2,0.9,0.517,1
-2,1,0.517,1
-2,1.1,0.517,1
-2,1.2,0.517,1
-2,1.3,0.517,1
-2,1.4,0.517,1
-2,1.5,0.517,1
-2,1.6,0.517,1
-2,1.7,0.517,1
-2,1.8,0.517,1
-2,1.9,0.517,1
-2,2,0.517,1
-1.9,-2,0.403,1
-1.9,-1.9,0.423,1
-1.9,-1.8,0.446,1
-1.9,-1.7,0.471,1
-1.9,-1.6,0.498,1
-1.9,-1.5,0.524,1
-1.9,-1.4,0.534,1
-1.9,-1.3,0.537,1
-1.9,-1.2,0.539,1
-1.9,-1.1,0.54,1
-1.9,-1,0.54,1
-1.9,-0.9,0.541,1
-1.9,-0.8,0.541,1
-1.9,-0.7,0.542,1
-1.9,-0.6,0.542,1
-1.9,-0.5,0.542,1
-1.9,-0.4,0.542,1
-1.9,-0.3,0.543,1
-1.9,-0.2,0.543,1
-1.9,-0.1,0.543,1
-1.9,0,0.543,1
-1.9,0.1,0.543,1
-1.9,0.2,0.543,1
-1.9,0.3,0.543,1
-1.9,0.4,0.543,1
-1.9,0.5,0.543,1
-1.9,0.6,0.543,1
-1.9,0.7,0.543,1
-1.9,0.8,0.543,1
-1.9,0.9,0.543,1
-1.9,1,0.543,1
-1.9,1.1,0.543,1
-1.9,1.2,0.543,1
-1.9,1.3,0.543,1
-1.9,1.4,0.543,1
-1.9,1.5,0.543,1
-1.9,1.6,0.543,1
-1.9,1.7,0.543,1
-1.9,1.8,0.543,1
-1.9,1.9,0.543,1
-1.9,2,0.543,1
-1.8,-2,0.406,1
-1.8,-1.9,0.428,1
-1.8,-1.8,0.446,1
-1.8,-1.7,0.471,1
-1.8,-1.6,0.499,1
-1.8,-1.5,0.53,1
-1.8,-1.4,0.556,1
-1.8,-1.3,0.564,1
-1.8,-1.2,0.567,1
-1.8,-1.1,0.568,1
-1.8,-1,0.569,1
-1.8,-0.9,0.57,1
-1.8,-0.8,0.57,1
-1.8,-0.7,0.571,1
-1.8,-0.6,0.571,1
-1.8,-0.5,0.571,1
-1.8,-0.4,0.571,1
-1.8,-0.3,0.572,1
-1.8,-0.2,0.572,1
-1.8,-0.1,0.572,1
-1.8,0,0.572,1
-1.8,0.1,0.572,1
-1.8,0.2,0.572,1
-1.8,0.3,0.572,1
-1.8,0.4,0.572,1
-1.8,0.5,0.572,1
-1.8,0.6,0.572,1
-1.8,0.7,0.572,1
-1.8,0.8,0.573,1
-1.8,0.9,0.573,1
-1.8,1,0.573,1
-1.8,1.1,0.573,1
-1.8,1.2,0.573,1
-1.8,1.3,0.573,1
-1.8,1.4,0.573,1
-1.8,1.5,0.573,1
-1.8,1.6,0.573,1
-1.8,1.7,0.573,1
-1.8,1.8,0.573,1
-1.8,1.9,0.572,1
-1.8,2,0.572,1
-1.7,-2,0.403,1
-1.7,-1.9,0.424,1
-1.7,-1.8,0.451,1
-1.7,-1.7,0.472,1
-1.7,-1.6,0.5,1
-1.7,-1.5,0.532,1
-1.7,-1.4,0.566,1
-1.7,-1.3,0.591,1
-1.7,-1.2,0.597,1
-1.7,-1.1,0.6,1
-1.7,-1,0.601,1
-1.7,-0.9,0.602,1
-1.7,-0.8,0.603,1
-1.7,-0.7,0.603,1
-1.7,-0.6,0.603,1
-1.7,-0.5,0.604,1
-1.7,-0.4,0.604,1
-1.7,-0.3,0.604,1
-1.7,-0.2,0.604,1
-1.7,-0.1,0.604,1
-1.7,0,0.605,1
-1.7,0.1,0.605,1
-1.7,0.2,0.605,1
-1.7,0.3,0.605,1
-1.7,0.4,0.605,1
-1.7,0.5,0.605,1
-1.7,0.6,0.605,1
-1.7,0.7,0.605,1
-1.7,0.8,0.605,1
-1.7,0.9,0.605,1
-1.7,1,0.605,1
-1.7,1.1,0.605,1
-1.7,1.2,0.605,1
-1.7,1.3,0.605,1
-1.7,1.4,0.605,1
-1.7,1.5,0.605,1
-1.7,1.6,0.605,1
-1.7,1.7,0.605,1
-1.7,1.8,0.605,1
-1.7,1.9,0.605,1
-1.7,2,0.605,1
-1.6,-2,0.403,1
-1.6,-1.9,0.423,1
